Employee_Name,EmpID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,Position,Hiring location,Zip,DOB,Sex,MaritalDesc,Citizenship,DateofJoining,DateofTermination,TermReason,EmploymentStatus,Training hours,Trainings,Cost of training ,Department,ManagerName,ManagerID,Recruitment Source,PerformanceScore,EngagementSurvey,Employee rating,LastPerformanceReview_Date,DaysLateLast30,Absences,EmpType,OTHours
"Tejeda, Lenora ",10146,5,5,3,72202,1,20,Production Technician II,MA,2129,05-03-1953,Female,Married,US Citizen,05-02-2011,07-08-2017,Another position,Voluntarily Terminated,3,SQL,,Production       ,Elijiah Gray,16,Google Search,Fully Meets,3.93,3,4/18/2017,0,3,Permanent,3
"Terry, Sharlene ",10161,1,6,3,58370,0,3,Area Sales Manager,OR,97756,05-07-1965,Female,Single,US Citizen,9-29-2014,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Indeed,Fully Meets,3.69,3,1/28/2019,0,18,Permanent,2
"Theamstern, Sophia",10141,5,5,3,48413,1,19,Production Technician I,MA,2066,05-09-1965,Female,Single,US Citizen,07-05-2011,09-05-2016,return to school,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,Indeed,Fully Meets,3.98,4,03-02-2016,0,1,contractor,1
"Thibaud, Kenneth",10268,5,5,3,67176,1,20,Production Technician II,MA,2472,09-02-1975,Male ,Widowed,US Citizen,06-06-2007,8/30/2010,military,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Webster Butler,39,Other,Fully Meets,4.1,4,7/14/2010,0,15,contractor,3
"Tippett, Jeanette",10123,1,5,3,56339,0,19,Production Technician I,MA,2093,06-05-1967,Female,Divorced,US Citizen,2-18-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,Indeed,Fully Meets,4.21,5,1/14/2019,0,4,contractor,4
"Torrence, Jack",10013,1,6,4,64397,0,3,Area Sales Manager,ND,58782,01-01-1968,Male ,Separated,US Citizen,01-09-2006,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Indeed,Exceeds,4.1,3,01-04-2019,0,6,contractor,1
"Trang, Mei",10287,1,5,2,63025,0,19,Production Technician I,MA,2021,05-02-1983,Female,Single,US Citizen,2-17-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,David Stanley,14,LinkedIn,Needs Improvement,2.44,5,02-11-2019,4,18,Permanent,2
"Tredinnick, Neville ",10044,5,3,3,75281,1,15,Network Engineer,MA,1420,05-05-1988,Male ,Married,US Citizen,01-05-2015,02-12-2016,medical issues,Voluntarily Terminated,4,cloud computing,3000,IT/IS,Peter Monroe,7,CareerBuilder,Fully Meets,5,3,4/15/2015,0,11,Permanent,3
"True, Edward",10102,5,4,3,100416,1,24,Software Engineer,MA,2451,06-03-1983,Male ,Single,Non-Citizen,2-18-2013,4/15/2018,medical issues,Voluntarily Terminated,3,Bigdata,2500,Software Engineering,Alex Sweetwater,10,Diversity Job Fair,Fully Meets,4.6,3,02-12-2017,0,9,Permanent,4
"Trzeciak, Cybil",10270,5,5,3,74813,1,20,Production Technician II,MA,1778,03-01-1985,Female,Single,US Citizen,01-10-2011,07-02-2014,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,LinkedIn,Fully Meets,4.4,3,01-05-2014,0,5,Permanent,2
"Turpin, Jumil",10045,1,3,3,76029,0,15,Network Engineer,MA,2343,03-11-1969,Male ,Married,Eligible NonCitizen,3-30-2015,,N/A-StillEmployed,Active,4,python ,2000,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,5,4,1/14/2019,0,8,Permanent,3
"Valentin,Jackie",10205,1,6,3,57859,0,3,Area Sales Manager,AZ,85006,05-10-1991,Female,Married,US Citizen,07-05-2011,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,Indeed,Fully Meets,2.81,3,1/17/2019,0,16,Permanent,3
"Veera, Abdellah ",10014,5,5,4,58523,1,19,Production Technician I,MA,2171,01-11-1987,Male ,Divorced,US Citizen,8-13-2012,02-05-2016,maternity leave - did not return,Voluntarily Terminated,2,cloud computing,,Production       ,Kissy Sullivan,20,LinkedIn,Exceeds,4.5,5,02-01-2016,0,15,contractor,2
"Vega, Vincent",10144,1,5,3,88976,0,17,Production Manager,MA,2169,10-10-1968,Male ,Divorced,US Citizen,08-01-2011,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Janet King,2,Employee Referral,Fully Meets,3.93,3,2/27/2019,0,19,contractor,1
"Villanueva, Noah",10253,1,6,3,55875,0,3,Area Sales Manager,ME,4063,07-11-1989,Male ,Single,US Citizen,03-05-2012,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,Website,Fully Meets,4.5,4,1/18/2019,0,11,contractor,3
"Voldemort, Lord",10118,4,3,3,113999,1,8,Database Administrator,MA,1960,08-07-1986,Male ,Married,US Citizen,2-16-2015,2/22/2017,"no-call, no-show",Terminated for Cause,4,SQL,1000,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,4.33,3,2/15/2017,0,9,Permanent,2
"Volk, Colleen",10022,4,5,4,49773,1,19,Production Technician I,MA,2747,06-03-1986,Female,Married,US Citizen,9-26-2011,02-08-2016,gross misconduct,Terminated for Cause,2,Manufacturing,2500,Production       ,Kelley Spirea,18,Google Search,Exceeds,4.3,5,02-01-2015,0,18,Permanent,2
"Von Massenbach, Anna",10183,2,5,3,62068,0,19,Production Technician I,MA,2124,04-06-1985,Female,Single,US Citizen,07-05-2015,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Michael Albert,22,LinkedIn,Fully Meets,3.21,3,1/29/2019,0,7,Permanent,3
"Walker, Roger",10190,1,5,3,66541,0,20,Production Technician II,MA,2459,02-10-1976,Male ,Single,US Citizen,8-18-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,3.11,5,02-12-2019,0,4,Permanent,3
"Wallace, Courtney  E",10274,5,5,3,80512,1,18,Production Manager,MA,2478,11-03-1955,Female,Married,US Citizen,09-12-2011,01-02-2012,Another position,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Janet King,2,Diversity Job Fair,Fully Meets,4.5,3,01-02-2012,0,5,Permanent,2
"Wallace, Theresa",10293,5,5,2,50274,1,19,Production Technician I,MA,1887,08-02-1980,Female,Single,US Citizen,8-13-2012,09-01-2015,career change,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Elijiah Gray,16,CareerBuilder,Needs Improvement,2.5,3,09-05-2014,6,13,Permanent,1
"Wang, Charlie",10172,1,3,3,84903,0,22,Senior BI Developer,MA,1887,07-08-1981,Male ,Single,US Citizen,2-15-2017,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,3.42,4,01-04-2019,0,17,Permanent,3
"Warfield, Sarah",10127,1,3,3,107226,0,28,Sr. Network Engineer,MA,2453,05-02-1978,Female,Widowed,US Citizen,3-30-2015,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.2,4,02-05-2019,0,7,Permanent,4
"Whittier, Scott",10072,5,5,3,58371,1,19,Production Technician I,MA,2030,05-03-1987,Male ,Single,US Citizen,01-10-2011,5/15/2014,hours,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Webster Butler,39,LinkedIn,Fully Meets,5,5,5/15/2014,0,11,Permanent,1
"Wilber, Barry",10048,5,5,3,55140,1,19,Production Technician I,MA,2324,09-09-1965,Male ,Married,Eligible NonCitizen,5-16-2011,09-07-2015,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,Website,Fully Meets,5,3,2/15/2015,0,7,Permanent,2
"Wilkes, Annie",10204,5,5,3,58062,1,19,Production Technician I,MA,1876,07-08-1983,Female,Divorced,US Citizen,01-10-2011,5/14/2012,Another position,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,3.6,5,02-06-2011,0,9,Permanent,3
"Williams, Jacquelyn  ",10264,5,5,3,59728,1,19,Production Technician I,MA,2109,10-02-1969,Female,Single,US Citizen,01-09-2012,6/27/2015,relocation out of area,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,Diversity Job Fair,Fully Meets,4.3,4,06-02-2014,0,16,Permanent,2
"Winthrop, Jordan  ",10033,5,5,4,70507,1,20,Production Technician II,MA,2045,11-07-1958,Male ,Single,US Citizen,01-07-2013,2/21/2016,retiring,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,LinkedIn,Exceeds,5,3,1/19/2016,0,7,Permanent,3
"Wolk, Hang  T",10174,1,5,3,60446,0,20,Production Technician II,MA,2302,04-10-1985,Female,Single,US Citizen,9-29-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,David Stanley,14,LinkedIn,Fully Meets,3.4,4,2/21/2019,0,14,Permanent,3
"Woodson, Jason",10135,1,5,3,65893,0,20,Production Technician II,MA,1810,05-11-1985,Male ,Single,US Citizen,07-07-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,4.07,4,2/28/2019,0,13,Permanent,2
"Ybarra, Catherine ",10301,5,5,1,48513,1,19,Production Technician I,MA,2458,05-04-1982,Female,Single,US Citizen,09-02-2008,9/29/2015,Another position,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,Google Search,PIP,3.2,2,09-02-2015,5,4,Permanent,1
"Zamora, Jennifer",10010,1,3,4,220450,0,6,CIO,MA,2067,08-08-1979,Female,Single,US Citizen,04-10-2010,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Janet King,2,Employee Referral,Exceeds,4.6,5,2/21/2019,0,16,Permanent,3
"Zhou, Julia",10043,1,3,3,89292,0,9,Data Analyst,MA,2148,02-03-1979,Female,Single,US Citizen,3-30-2015,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,5,3,02-01-2019,0,11,Permanent,4
"Zima, Colleen",10271,1,5,3,45046,0,19,Production Technician I,MA,1730,08-06-1978,Female,Widowed,US Citizen,9-29-2014,,N/A-StillEmployed,Active,2,Manufacturing,,Production       ,David Stanley,14,LinkedIn,Fully Meets,4.5,5,1/30/2019,0,2,Permanent,1
